"Date","Reported"
2021-02-17,1386
2021-02-18,1066
2021-02-19,1168
2021-02-20,961
2021-02-21,539
2021-02-22,1141
2021-02-23,751
2021-02-24,1091
2021-02-25,1023
2021-02-26,1325
2021-02-27,832
2021-02-28,467
2021-03-01,983
2021-03-02,1162
2021-03-03,1021
2021-03-04,1001
2021-03-05,1054
2021-03-06,868
2021-03-07,475
2021-03-08,1070
2021-03-09,1240
2021-03-10,1146
2021-03-11,1257
2021-03-12,1253
2021-03-13,865
2021-03-14,534
2021-03-15,1086
2021-03-16,1469
2021-03-17,1311
2021-03-18,1244
2021-03-19,1541
2021-03-20,941
2021-03-21,655
2021-03-22,1362
2021-03-23,1778
2021-03-24,1792
2021-03-25,1787
2021-03-26,1879
2021-03-27,1554
2021-03-28,988
2021-03-29,2001
2021-03-30,2485
2021-03-31,2478
2021-04-01,2443
2021-04-02,2652
2021-04-03,2219
2021-04-04,1185
2021-04-05,2584
2021-04-06,3131
2021-04-07,3038
2021-04-08,3149
2021-04-09,3345
2021-04-10,2647
2021-04-11,1416
2021-04-12,3550
2021-04-13,4084
2021-04-14,3937
2021-04-15,4293
2021-04-16,4469
2021-04-17,3612
2021-04-18,2010
2021-04-19,4374
2021-04-20,4967
2021-04-21,4914
2021-04-22,4748
2021-04-23,5235
2021-04-24,4070
2021-04-25,2378
2021-04-26,4857
2021-04-27,5415
2021-04-28,5611
2021-04-29,3379
2021-04-30,5765
2021-05-01,5154
2021-05-02,3771
2021-05-03,3473
2021-05-04,3674
2021-05-05,3712
2021-05-06,5794
2021-05-07,7138
2021-05-08,5838
2021-05-09,3591
2021-05-10,6057
2021-05-11,6687
2021-05-12,5968
2021-05-13,5346
2021-05-14,5638
2021-05-15,4461
2021-05-16,2891
2021-05-17,4924
2021-05-18,5502
2021-05-19,5065
2021-05-20,4528
2021-05-21,4820
2021-05-22,3308
2021-05-23,1990
2021-05-24,3611
2021-05-25,4313
2021-05-26,3679
2021-05-27,3320
2021-05-28,3292
2021-05-29,2638
2021-05-30,1379
2021-05-31,2594
2021-06-01,2809
2021-06-02,2592
2021-06-03,2425
2021-06-04,2433
2021-06-05,1755
2021-06-06,1005
2021-06-07,1811
2021-06-08,2146
2021-06-09,1821
2021-06-10,1627
2021-06-11,1874
2021-06-12,1251
2021-06-13,666
2021-06-14,1408
2021-06-15,1717
2021-06-16,1397
2021-06-17,1381
2021-06-18,1505
2021-06-19,1136
2021-06-20,650
2021-06-21,1481
2021-06-22,1768
2021-06-23,1503
2021-06-24,1505
2021-06-25,1592
2021-06-26,1128
2021-06-27,743
2021-06-28,1465
2021-06-29,1688
2021-06-30,1577
2021-07-01,1684
2021-07-02,1822
2021-07-03,1305
2021-07-04,807
2021-07-05,1622
2021-07-06,2168
2021-07-07,2044
2021-07-08,2111
2021-07-09,2348
2021-07-10,1802
2021-07-11,1092
2021-07-12,2282
2021-07-13,3078
2021-07-14,3205
2021-07-15,3063
2021-07-16,3669
2021-07-17,2785
2021-07-18,1772
2021-07-19,3778
2021-07-20,4785
2021-07-21,5272
2021-07-22,3578
2021-07-23,3040
2021-07-24,5149
2021-07-25,3805
2021-07-26,8087
2021-07-27,9551
2021-07-28,10509
2021-07-29,10059
2021-07-30,12071
2021-07-31,9918
2021-08-01,6013
2021-08-02,12282
2021-08-03,14374
2021-08-04,14646
2021-08-05,14346
2021-08-06,15475
2021-08-07,13536
2021-08-08,9023
2021-08-09,7433
2021-08-10,17432
2021-08-11,20225
2021-08-12,19936
2021-08-13,18583
2021-08-14,15500
2021-08-15,9933
2021-08-16,20183
2021-08-17,25036
2021-08-18,25038
2021-08-19,23582
2021-08-20,24334
2021-08-21,19833
2021-08-22,11066
2021-08-23,22206
2021-08-24,23490
2021-08-25,23033
2021-08-26,20730
2021-08-27,20328
2021-08-28,16350
2021-08-29,8710
2021-08-30,17414
2021-08-31,18596
2021-09-01,16017
2021-09-02,13929
2021-09-03,13421
2021-09-04,10192
2021-09-05,5085
2021-09-06,10673
2021-09-07,11102
2021-09-08,9257
2021-09-09,7569
2021-09-10,7716
2021-09-11,5956
2021-09-12,2859
2021-09-13,6122
2021-09-14,6270
2021-09-15,5034
2021-09-16,4354
2021-09-17,4159
2021-09-18,3020
2021-09-19,1752
2021-09-20,1394
2021-09-21,3335
2021-09-22,3520
2021-09-23,1545
2021-09-24,2462
2021-09-25,1952
2021-09-26,903
2021-09-27,1792
2021-09-28,1818
2021-09-29,1474
2021-09-30,1277
2021-10-01,1235
2021-10-02,800
2021-10-03,472
2021-10-04,1030
2021-10-05,1106
2021-10-06,841
2021-10-07,743
2021-10-08,711
2021-10-09,549
2021-10-10,269
2021-10-11,627
2021-10-12,675
2021-10-13,590
2021-10-14,494
2021-10-15,499
2021-10-16,359
2021-10-17,177
2021-10-18,401
2021-10-19,402
2021-10-20,293
2021-10-21,321
2021-10-22,284
2021-10-23,219
2021-10-24,132
2021-10-25,322
2021-10-26,294
2021-10-27,284
2021-10-28,289
2021-10-29,272
2021-10-30,213
2021-10-31,78
2021-11-01,226
2021-11-02,245
2021-11-03,116
2021-11-04,240
2021-11-05,228
2021-11-06,151
2021-11-07,90
2021-11-08,214
2021-11-09,190
2021-11-10,204
2021-11-11,176
2021-11-12,187
2021-11-13,132
2021-11-14,65
2021-11-15,138
2021-11-16,169
2021-11-17,154
2021-11-18,134
2021-11-19,129
2021-11-20,130
2021-11-21,27
2021-11-22,122
2021-11-23,52
2021-11-24,112
2021-11-25,113
2021-11-26,136
2021-11-27,68
2021-11-28,59
2021-11-29,125
2021-11-30,124
