"Date","Reported"
2021-06-27,743
2021-06-28,1465
2021-06-29,1688
2021-06-30,1577
2021-07-01,1684
2021-07-02,1822
2021-07-03,1305
2021-07-04,807
2021-07-05,1622
2021-07-06,2168
2021-07-07,2044
2021-07-08,2111
2021-07-09,2348
2021-07-10,1802
2021-07-11,1092
2021-07-12,2282
2021-07-13,3078
2021-07-14,3205
2021-07-15,3063
2021-07-16,3669
2021-07-17,2785
2021-07-18,1772
2021-07-19,3778
2021-07-20,4785
2021-07-21,5272
2021-07-22,3578
2021-07-23,3040
2021-07-24,5149
2021-07-25,3805
2021-07-26,8087
2021-07-27,9551
2021-07-28,10509
2021-07-29,10059
2021-07-30,12071
2021-07-31,9918
2021-08-01,6013
2021-08-02,12282
2021-08-03,14374
2021-08-04,14646
2021-08-05,14346
2021-08-06,15475
2021-08-07,13536
2021-08-08,9023
2021-08-09,7433
2021-08-10,17432
2021-08-11,20225
2021-08-12,19936
2021-08-13,18583
2021-08-14,15500
2021-08-15,9933
2021-08-16,20183
2021-08-17,25036
2021-08-18,25038
2021-08-19,23582
2021-08-20,24334
2021-08-21,19833
2021-08-22,11066
2021-08-23,22206
2021-08-24,23490
2021-08-25,23033
2021-08-26,20730
2021-08-27,20328
2021-08-28,16350
2021-08-29,8710
2021-08-30,17414
2021-08-31,18596
2021-09-01,16017
2021-09-02,13929
2021-09-03,13421
2021-09-04,10192
2021-09-05,5085
2021-09-06,10673
2021-09-07,11102
2021-09-08,9257
2021-09-09,7569
2021-09-10,7716
2021-09-11,5956
2021-09-12,2859
2021-09-13,6122
2021-09-14,6270
2021-09-15,5034
2021-09-16,4354
2021-09-17,4159
2021-09-18,3020
2021-09-19,1752
2021-09-20,1394
2021-09-21,3335
2021-09-22,3520
2021-09-23,1545
2021-09-24,2462
2021-09-25,1952
2021-09-26,903
2021-09-27,1792
2021-09-28,1818
2021-09-29,1474
2021-09-30,1277
2021-10-01,1235
2021-10-02,800
2021-10-03,472
2021-10-04,1030
