Date,Vaccinated1st
2021/2/17,121
2021/2/18,445
2021/2/19,4065
2021/2/20,618
2021/2/21,161
2021/2/22,5676
2021/2/23,139
2021/2/24,5246
2021/2/25,4418
2021/2/26,5768
2021/2/27,151
2021/2/28,3
2021/3/1,2705
2021/3/2,2147
2021/3/3,2313
2021/3/4,2114
2021/3/5,9962
2021/3/6,2355
2021/3/7,2312
2021/3/8,31297
2021/3/9,37876
2021/3/10,42969
2021/3/11,35820
2021/3/12,44170
2021/3/13,8580
2021/3/14,1161
2021/3/15,58265
2021/3/16,67346
2021/3/17,71975
2021/3/18,71457
2021/3/19,74046
2021/3/20,6914
2021/3/21,3772
2021/3/22,35154
2021/3/23,35234
2021/3/24,35003
2021/3/25,35943
2021/3/26,38984
2021/3/27,7591
2021/3/28,2259
2021/3/29,22145
2021/3/30,25151
2021/3/31,24176
2021/4/1,19261
2021/4/2,25060
2021/4/3,8398
2021/4/4,2821
2021/4/5,28617
2021/4/6,36237
2021/4/7,40842
2021/4/8,19341
2021/4/9,36128
2021/4/10,6957
2021/4/11,1234
2021/4/12,9298
2021/4/13,8201
2021/4/14,11688
2021/4/15,28024
2021/4/16,41578
2021/4/17,23426
2021/4/18,19337
2021/4/19,110262
2021/4/20,167360
2021/4/21,201987
2021/4/22,202258
2021/4/23,207381
2021/4/24,116578
2021/4/25,61591
2021/4/26,191206
2021/4/27,249303
2021/4/28,286954
2021/4/29,43746
2021/4/30,225836
2021/5/1,108497
2021/5/2,45969
2021/5/3,12329
2021/5/4,13205
2021/5/5,13972
2021/5/6,95570
2021/5/7,110932
2021/5/8,104230
2021/5/9,94288
2021/5/10,162268
2021/5/11,198400
2021/5/12,231967
2021/5/13,225204
2021/5/14,206574
2021/5/15,176277
2021/5/16,205742
2021/5/17,255343
2021/5/18,311502
2021/5/19,374854
2021/5/20,397080
2021/5/21,349214
2021/5/22,315947
2021/5/23,341381
2021/5/24,494250
2021/5/25,570073
2021/5/26,631392
2021/5/27,608234
2021/5/28,582497
2021/5/29,499730
2021/5/30,470892
2021/5/31,559623
2021/6/1,676631
2021/6/2,702068
2021/6/3,709129
2021/6/4,692789
2021/6/5,635258
2021/6/6,574367
2021/6/7,688339
2021/6/8,753686
2021/6/9,744276
2021/6/10,726504
2021/6/11,740207
2021/6/12,679511
2021/6/13,616364
2021/6/14,630326
2021/6/15,683466
2021/6/16,666694
2021/6/17,674954
2021/6/18,663349
2021/6/19,686910
2021/6/20,683078
2021/6/21,719080
2021/6/22,757990
2021/6/23,771774
2021/6/24,749798
2021/6/25,741889
2021/6/26,771652
2021/6/27,794151
2021/6/28,744368
2021/6/29,802113
2021/6/30,844596
2021/7/1,644259
2021/7/2,607607
2021/7/3,897591
2021/7/4,845648
2021/7/5,945606
2021/7/6,1001406
2021/7/7,1028202
2021/7/8,1031652
2021/7/9,1045295
2021/7/10,1043726
2021/7/11,769382
2021/7/12,804882
2021/7/13,874346
2021/7/14,862199
2021/7/15,841851
2021/7/16,873972
2021/7/17,830760
2021/7/18,615624
2021/7/19,500985
2021/7/20,776297
2021/7/21,745088
2021/7/22,324399
2021/7/23,254234
2021/7/24,467080
2021/7/25,421704
2021/7/26,558267
2021/7/27,608744
2021/7/28,601348
2021/7/29,606620
2021/7/30,635781
2021/7/31,640868
2021/8/1,559755
2021/8/2,567999
2021/8/3,585682
2021/8/4,573868
2021/8/5,561278
2021/8/6,581729
2021/8/7,698098
2021/8/8,608739
2021/8/9,168167
2021/8/10,486772
2021/8/11,496861
2021/8/12,490086
2021/8/13,344375
2021/8/14,353528
2021/8/15,368520
2021/8/16,433311
2021/8/17,544502
2021/8/18,575387
2021/8/19,574535
2021/8/20,613455
2021/8/21,719664
2021/8/22,626048
2021/8/23,546661
2021/8/24,608999
2021/8/25,602247
2021/8/26,568052
2021/8/27,639262
2021/8/28,728345
2021/8/29,597355
2021/8/30,388741
2021/8/31,648930
2021/9/1,643795
2021/9/2,420650
2021/9/3,738473
2021/9/4,954450
2021/9/5,775297
2021/9/6,616095
2021/9/7,628987
2021/9/8,596332
2021/9/9,583470
2021/9/10,647402
2021/9/11,784579
2021/9/12,617392
2021/9/13,509273
2021/9/14,535133
2021/9/15,512109
2021/9/16,498654
2021/9/17,575518
2021/9/18,737716
2021/9/19,574796
2021/9/20,155817
2021/9/21,409354
2021/9/22,418798
2021/9/23,194184
2021/9/24,434671
2021/9/25,573782
2021/9/26,446005
2021/9/27,375602
2021/9/28,405650
2021/9/29,401974
2021/9/30,387386
2021/10/1,438319
2021/10/2,596617
2021/10/3,467063
2021/10/4,329599
2021/10/5,344541
2021/10/6,329599
2021/10/7,316470
2021/10/8,376052
2021/10/9,507298
2021/10/10,378011
2021/10/11,283705
2021/10/12,269412
2021/10/13,141120
2021/10/14,261971
2021/10/15,303269
2021/10/16,397310
2021/10/17,248670
2021/10/18,176423
2021/10/19,172662
2021/10/20,164810
2021/10/21,147816
2021/10/22,193720
2021/10/23,265090
2021/10/24,166612
2021/10/25,109595
2021/10/26,112853
2021/10/27,105342
2021/10/28,101794
2021/10/29,130454
2021/10/30,181339
2021/10/31,118964
2021/11/1,56751
2021/11/2,38408
2021/11/3,21603
2021/11/4,54234
2021/11/5,84007
2021/11/6,115742
2021/11/7,73124
2021/11/8,47873
2021/11/9,49901
2021/11/10,33626
2021/11/11,30318
2021/11/12,50371
2021/11/13,67293
2021/11/14,30662
2021/11/15,25700
2021/11/16,25115
2021/11/17,24710
2021/11/18,23133
2021/11/19,41764
2021/11/20,55626
2021/11/21,24768
2021/11/22,22352
2021/11/23,4944
2021/11/24,22229
2021/11/25,19918
2021/11/26,37979
2021/11/27,51261
2021/11/28,19720
2021/11/29,18157
2021/11/30,17840
