week_name,ëçêî,ñkäCìπ,ê¬êXåß,ä‚éËåß,ã{èÈåß,èHìcåß,éRå`åß,ïüìáåß,àÔèÈåß,ì»ñÿåß,åQînåß,çÈã åß,êÁótåß,ìåãûìs,ê_ìﬁêÏåß,êVäÉåß,ïxéRåß,êŒêÏåß,ïüà‰åß,éRóúåß,í∑ñÏåß,äÚïååß,ê√â™åß,à§ímåß,éOèdåß,é†âÍåß,ãûìsï{,ëÂç„ï{,ï∫å…åß,ìﬁó«åß,òaâÃéRåß,íπéÊåß,ìáç™åß,â™éRåß,çLìáåß,éRå˚åß,ìøìáåß,çÅêÏåß,à§ïQåß,çÇímåß,ïüâ™åß,ç≤âÍåß,í∑çËåß,åFñ{åß,ëÂï™åß,ã{çËåß,é≠éôìáåß,â´ìÍåß
 2023-01,4.78,5.72,3.27,1.7,1.8,1.2,0.77,2.66,4.8,2.36,2.98,4.34,4.65,3.61,3.91,2.33,3.56,4.27,3.3,3.27,3.25,2.93,3.19,4.65,4.35,3.25,5.53,8.69,4.12,4,4.29,4.17,2.11,3.65,2.4,3.11,4.65,3.64,7.39,2.87,9.66,10.08,7.11,5.46,5.14,12.37,6.58,18.43
 2023-02,7.39,7.55,5.92,2.29,1.66,2.51,1.5,3.41,4.38,3.14,3.56,5.03,6.55,5.3,5.56,4.53,6.52,7.1,5.49,3.12,3.98,4.02,4.62,7.01,6.72,5.53,9.6,12.48,8.26,7.49,8.53,4.21,2.63,5.26,4.16,5.34,7.14,9.38,10.25,7.18,17.45,15.79,14.74,8.6,8.45,16.65,13.57,33.23
 2023-03,9.59,8.2,8.02,1.08,2.33,2.61,2.3,4.4,5.61,5.7,4.65,7.11,8.46,8.5,8.72,5.44,8.33,13.69,12.14,1.85,5.57,3.41,4.56,7.96,8.8,7.52,15.18,20.79,12.13,10.55,10.61,3.86,4.29,5.83,8.19,4.2,6.16,9.45,8.92,8.58,20.71,16.92,14.8,8.75,10.4,17.59,9.72,38.77
 2023-04,10.39,8.9,10.47,1.63,3.69,4.25,3.52,4.11,4.89,5.95,4.14,7.03,7.49,9.15,9.88,6.09,11.31,17.52,25.38,1.32,3.89,4.26,3.01,7.48,8.29,9.65,20.08,24.95,14.02,13.44,11.51,2.28,4.5,6.13,8.78,4.14,5.49,9.02,8.92,10.04,21.7,12.54,12.26,9.08,11.9,16.47,8.28,41.23
 2023-05,12.66,11.37,15.58,5.63,3.71,6.18,6.45,3.36,6.91,6.99,3.69,8.31,10.45,9.77,12.59,5.02,15.19,22.92,35.46,2.51,5.56,4.3,3.35,10.05,9.9,10.73,26.81,30.28,16.96,18.98,11.12,2.86,5.87,7.82,8.73,5.02,4.65,13.49,9.43,11.78,24.35,18.92,14.47,10.41,15.76,22.33,8.75,47.18
 2023-06,12.94,11.96,17,14.51,4.22,8.98,6.34,4.01,7.79,7.57,3.35,8.25,9.5,9.7,11.2,5.97,24.85,40.48,45.03,2.73,9.43,4.46,4.24,9.32,6.63,14.73,26.11,28.78,15.63,19.73,10.51,3.21,8.24,7.98,9.23,4.7,5.49,17.11,6.03,10.73,24.37,17.87,17.86,11.41,20.95,23.26,7.83,30.25
 2023-07,12.58,12.29,16.56,34.53,4.37,11.33,6.39,3.63,7.18,11.11,3.87,9.97,10.28,10.04,13.51,5.75,27.98,46.44,48.95,1.95,10.94,3.15,3.23,8.97,6.85,15.07,23.79,22.49,14.21,16.35,10.71,3.1,7.82,9.39,8.39,6.09,6.05,16.91,6.34,10.11,19.85,19.67,15.07,9.14,14.59,18.09,4.21,18.55
 2023-08,11.31,11.44,15.16,41.37,4.38,15.88,7.68,4.61,7.67,10,4.69,10.38,8.95,8.53,12.82,7.61,29.85,48.17,33.16,3.37,11.07,3.08,3.01,8.08,8.1,14.37,18.89,14.82,11.37,13.15,10.22,2.83,6.84,9.37,7.65,7.55,7.11,13.89,7.49,7.76,15.45,17.72,14.93,7.29,17.4,12.12,4.21,12.76
 2023-09,10.18,10.16,15.19,33.37,3.99,12.49,11.14,6.27,8.08,11.37,5.38,10.63,8.51,8.35,11.39,9.8,26.25,33.77,23.46,2.9,9.13,3.32,4.16,8.11,8.01,14.18,14.17,10.44,9.14,10.95,8.98,4.17,8.74,8.21,8.98,7.94,7.78,11.64,7.05,7.87,14.54,16.08,12.57,7.28,15.03,8.81,3.86,8.05
 2023-10,11.1,12.9,14.97,26.03,4.08,13.02,16.7,7.71,8.93,15.82,8.07,13.29,8.6,10.42,12.53,15.59,26.02,25.08,18.49,3.8,10.77,3.85,5.96,11.17,7.97,15.85,12.53,8.36,9.84,8.22,6.84,6.14,6.71,12.35,10.14,10.12,10.22,14.09,9.26,6.56,14.84,14.49,11.17,8.84,16.19,9.38,4.42,11.27
 2023-11,8.44,12.09,10.63,16.73,3.95,9.9,16.14,5.93,5.93,12.39,8.93,10.44,5.8,7.74,8.54,19.45,19,15.54,9.08,4.32,7.97,3.93,4.62,10.02,9.46,11.75,7.76,5.34,6.61,6.98,4.73,4.55,4.21,10.37,9.69,9.33,6.14,10.19,6.82,3.6,10.23,7.31,5.39,6.93,11.12,5.78,3.61,9.02
 2023-12,6.44,8.75,13.2,11.65,5.25,11.14,16.75,5.9,4.11,7.99,7.47,7.86,3.45,5.19,5.27,19.43,13.85,10.25,4.38,3.54,4.98,3.2,3.39,8.21,7.88,8.28,4.89,3.23,4.67,5.93,2.65,4.93,3.87,7.01,10.07,7.12,2.57,8.81,4.28,3.18,8.72,5.18,3.93,5.52,8.62,5.31,2.07,7.56
 2023-13,4.05,5.16,8.09,4.24,6.03,5.84,11.55,3.69,2.3,4.01,4.48,4.79,2.85,3.58,2.95,18.44,7.08,3.9,2.97,3,3.34,2.36,2.28,5.24,4.31,3.95,2.17,1.69,2.56,2.75,1.14,3.59,3.45,4.58,8.01,3.39,2.05,3.89,3.9,2.24,5.1,4.28,3.01,3.63,4.83,3.33,1.13,4.36
 2023-14,2.77,3.21,7.03,3.51,4.67,5.52,11.14,2.35,1.74,2.82,2.52,2.72,1.78,2.32,1.9,14.06,4.73,3.63,1.62,1.98,1.55,1.82,1.33,4.14,3.83,2.43,1.48,1.17,1.79,1.44,0.73,1.45,2.84,3.21,5.49,2.13,1.3,1.91,2.72,1.67,3.04,2.85,2.41,1.97,3.53,0.97,1.16,2.38
 2023-15,2.15,2.38,4.69,1.61,3.76,3,6.51,1.8,1.05,1.36,2.53,1.85,2.01,1.92,1.19,13.39,2.9,1.83,0.89,1.44,1.84,1.44,2.16,3.11,3.54,2.23,1.04,0.78,1.49,0.96,0.67,1.38,1.76,2.46,3.81,2.14,0.59,0.83,2.13,3.24,2.59,2.92,1.23,1.19,2.66,0.91,0.83,2.04
 2023-16,2.5,2.94,4.25,2.18,6.55,3.56,8.35,2.24,1.18,1.18,2.79,2.09,2.14,1.83,1.57,21.18,2.65,1.13,0.38,2.51,2.26,1.03,2.56,3.03,5.81,2.77,1.08,0.8,1.19,1.15,0.53,0.9,1.61,2.95,4.2,2.54,1.05,0.91,1.26,3.22,2.64,1.72,1.5,1.44,2.29,1.78,1.89,1.35
 2023-17,2.23,4.11,6.93,2.8,5.89,3.79,9.05,2,0.81,0.87,3.6,1.68,1.78,1.53,1.12,16.17,1.81,0.48,0.11,1.61,1.34,0.68,2.12,2.51,5.54,1.9,0.64,0.84,1.32,0.69,0.27,2.41,1.74,2.6,3.82,1.69,1.7,0.6,0.85,1.91,1.82,2.26,1.19,1.57,1.55,1.98,1.89,0.82
 2023-18,1.7,2.26,4.16,2.29,5.35,2.9,5.42,2.76,0.71,1.16,2.83,1.45,1.11,1.11,0.8,9.26,0.56,0.6,0.26,1.61,1.67,1.32,1.56,1.85,5.79,1.63,0.33,0.53,1.25,0.58,0.18,2.03,2.34,1.73,2.76,1.51,0.97,0.47,1.03,1.16,1.63,1.62,0.97,1.84,0.79,1.98,1.59,0.72
 2023-19,1.35,1.26,2.45,1.3,3.28,2.69,4.3,2.07,0.55,0.93,3.24,1.29,1.14,0.96,0.75,5.64,0.27,0.21,0.33,0.61,1.44,0.85,0.93,1.36,2.65,0.67,0.53,0.48,1.43,0.64,0.61,1.38,0.95,1.49,1.98,1.88,0.7,0.17,1.89,0.95,1.19,1.28,1.69,2.72,1.62,2.36,1.64,0.81
 2023-20,1.89,1.98,2.72,2.92,3.18,3.31,5.63,3.49,0.82,1.68,4.54,2.17,2.22,2.01,1.08,5.92,0.46,0.08,0.13,0.22,2.23,0.94,1.74,1.75,1.86,0.87,0.9,0.72,2.5,0.91,0.49,1.62,1.21,1.35,2.88,1.73,0.49,0.4,3.66,0.98,1.18,1.56,2.21,3.05,1.71,4.53,1.88,0.61
 2023-21,1.61,1.38,0.9,2.52,2.48,0.79,2.93,3.04,1.12,0.45,2.87,2,1.86,1.89,1.12,3.35,0.31,0.08,0.1,0.44,1.03,0.91,1.81,1.62,1.81,0.75,0.6,0.64,1.67,0.6,0.31,0.9,0.87,0.87,2,2.54,0.86,0.11,3.67,2.07,1.26,0.87,4.14,2.37,1.45,7.07,2.37,0.74
 2023-22,1.5,1.41,0.67,1.05,2.31,0.75,2.79,2.06,1.04,0.38,1.93,1.69,2.07,1.69,0.96,2.76,0.31,0.04,0.18,0.63,0.74,0.92,2.22,1.47,2.56,0.85,0.93,0.73,1.18,0.35,0.61,0.86,0.97,0.57,1.79,2.7,0.3,0.7,3.64,2.23,1.21,0.87,3.39,2.63,1.48,5.33,3.54,1.07
